,appliance,booking_date,booking_time,box_truck,cargo_van,dolly,estimated_distance,estimated_time,fare_quote,final_payment,furniture,helper,hitch,item_desc,item_weight,job_id,large_pickup,max_est,min_est,number_of_pros,real,request_origin,small_pickup,tip,trailer,vehicle_type,vehicle_type_single,time_in_minutes,loading_time,max_time_estimate,min_time_estimate
0,0,2015-05-13 21:46:00,21.8,False,True,0,7.1999998092699995,12.0,$29.99 - $29.99,34.99,0,False,0,box,50 lbs or less,2,False,29.99,29.99,1,34.99,UNKNOWN,False,0.0,0,9,9,0.05,-11.95,42.0,22.0
11,0,2015-06-14 14:00:00,14.1,False,True,0,8.800000190730001,17.0,$29.99 - $33.54,55.47,0,False,0,Ggg ,50 lbs or less,497,False,33.54,29.99,1,55.47,UNKNOWN,False,0.0,0,9,9,42.5666666667,25.5666666667,47.0,27.0
13,0,2015-06-18 17:00:00,17.1,False,False,0,2.79999995232,7.0,$24.99 - $24.99,37.62,0,False,0,hdjf,50 lbs or less,505,False,24.99,24.99,1,37.62,UNKNOWN,True,0.0,0,12,12,38.0,31.0,37.0,17.0
15,0,2015-06-24 16:30:00,16.1,False,False,0,22.0,27.0,$26.63 - $36.63,61.38,0,False,0,watch,51-100 lbs,533,False,36.63,26.63,1,61.38,UNKNOWN,True,0.0,0,12,12,62.0,35.0,57.0,37.0
17,0,2015-06-30 15:47:06,15.1,False,False,0,12.600000381500001,16.0,$24.99 - $25.74,29.99,0,False,0,fffg,"501-1,000 lbs",550,False,25.74,24.99,1,29.99,UNKNOWN,True,0.0,0,12,12,0.0333333333333,-15.9666666666667,46.0,26.0
18,0,2015-07-01 09:00:00,9.11,False,True,0,10.3999996185,22.0,$31.28 - $41.28,34.99,0,False,0, clothing toys etc ,251-500 lbs,554,False,41.28,31.28,1,34.99,UNKNOWN,False,0.0,0,9,9,0.1,-21.9,52.0,32.0
19,0,2015-07-14 18:00:00,18.11,False,False,0,1.0,1.0,$29.99 - $29.99,34.99,0,False,0,full size mattress and box spring,50 lbs or less,568,True,29.99,29.99,1,34.99,UNKNOWN,False,0.0,0,11,11,0.05,-0.95,31.0,11.0
20,0,2015-08-08 00:00:00,0.13,False,False,0,27.3999996185,34.0,$53.28 - $63.28,49.5,0,False,0,2 wooden outdoor chairs,51-100 lbs,643,False,63.28,53.28,1,49.5,UNKNOWN,True,0.0,0,12,12,50.1,16.1,64.0,44.0
21,0,2015-10-06 22:09:34,22.16,False,False,0,4.099999904630001,15.0,$24.99 - $34.65,24.99,0,False,0,Test,50 lbs or less,875,False,34.65,24.99,1,24.99,UNKNOWN,True,0.0,0,12,12,0.1,-14.9,45.0,25.0
22,0,2015-10-08 12:26:00,12.16,False,False,0,0.40000000596,2.0,$24.99 - $24.99,24.99,0,False,0,Mclovin,251-500 lbs,876,False,24.99,24.99,1,24.99,UNKNOWN,True,0.0,0,12,12,0.166666666667,-1.833333333333,32.0,12.0
