metric,code,label,iso,country,year,value
pisa_read,I.B1.5.5,PISA reading mean,ARG,Argentina,2000,418.2507
pisa_math,I.B1.5.4,PISA mathematics mean,ARG,Argentina,2006,381.2539
pisa_read,I.B1.5.5,PISA reading mean,ARG,Argentina,2006,373.7238
pisa_sci,I.B1.5.6,PISA science mean,ARG,Argentina,2006,391.2439
pisa_math,I.B1.5.4,PISA mathematics mean,ARG,Argentina,2009,388.0681
pisa_read,I.B1.5.5,PISA reading mean,ARG,Argentina,2009,398.2609
pisa_sci,I.B1.5.6,PISA science mean,ARG,Argentina,2009,400.83853
pisa_math,I.B1.5.4,PISA mathematics mean,ARG,Argentina,2012,388.4317
pisa_read,I.B1.5.5,PISA reading mean,ARG,Argentina,2012,395.97913
pisa_sci,I.B1.5.6,PISA science mean,ARG,Argentina,2012,405.63202
pisa_math,I.B1.5.4,PISA mathematics mean,ARG,Argentina,2015,409.03333
pisa_read,I.B1.5.5,PISA reading mean,ARG,Argentina,2015,425.30313
pisa_sci,I.B1.5.6,PISA science mean,ARG,Argentina,2015,432.22626
pisa_math,I.B1.5.4,PISA mathematics mean,ARG,Argentina,2018,379.45383
pisa_read,I.B1.5.5,PISA reading mean,ARG,Argentina,2018,401.5031
pisa_sci,I.B1.5.6,PISA science mean,ARG,Argentina,2018,404.07144
pisa_math,I.B1.5.4,PISA mathematics mean,ARG,Argentina,2022,377.52902
pisa_read,I.B1.5.5,PISA reading mean,ARG,Argentina,2022,400.74405
pisa_sci,I.B1.5.6,PISA science mean,ARG,Argentina,2022,406.19135
pisa_read,I.B1.5.5,PISA reading mean,BRA,Brazil,2000,396.02908
pisa_math,I.B1.5.4,PISA mathematics mean,BRA,Brazil,2003,356.01578
pisa_read,I.B1.5.5,PISA reading mean,BRA,Brazil,2003,402.7963
pisa_math,I.B1.5.4,PISA mathematics mean,BRA,Brazil,2006,369.51505
pisa_read,I.B1.5.5,PISA reading mean,BRA,Brazil,2006,392.8851
pisa_sci,I.B1.5.6,PISA science mean,BRA,Brazil,2006,390.33157
pisa_math,I.B1.5.4,PISA mathematics mean,BRA,Brazil,2009,385.81412
pisa_read,I.B1.5.5,PISA reading mean,BRA,Brazil,2009,411.7549
pisa_sci,I.B1.5.6,PISA science mean,BRA,Brazil,2009,405.404
pisa_math,I.B1.5.4,PISA mathematics mean,BRA,Brazil,2012,388.50897
pisa_read,I.B1.5.5,PISA reading mean,BRA,Brazil,2012,406.53317
pisa_sci,I.B1.5.6,PISA science mean,BRA,Brazil,2012,401.6197
pisa_math,I.B1.5.4,PISA mathematics mean,BRA,Brazil,2015,377.06952
pisa_read,I.B1.5.5,PISA reading mean,BRA,Brazil,2015,407.3486
pisa_sci,I.B1.5.6,PISA science mean,BRA,Brazil,2015,400.6821
pisa_math,I.B1.5.4,PISA mathematics mean,BRA,Brazil,2018,383.56912
pisa_read,I.B1.5.5,PISA reading mean,BRA,Brazil,2018,412.87332
pisa_sci,I.B1.5.6,PISA science mean,BRA,Brazil,2018,403.62094
pisa_math,I.B1.5.4,PISA mathematics mean,BRA,Brazil,2022,378.69138
pisa_read,I.B1.5.5,PISA reading mean,BRA,Brazil,2022,410.357
pisa_sci,I.B1.5.6,PISA science mean,BRA,Brazil,2022,403.00122
pisa_read,I.B1.5.5,PISA reading mean,BGR,Bulgaria,2000,430.40344
pisa_math,I.B1.5.4,PISA mathematics mean,BGR,Bulgaria,2006,413.44916
pisa_read,I.B1.5.5,PISA reading mean,BGR,Bulgaria,2006,401.93497
pisa_sci,I.B1.5.6,PISA science mean,BGR,Bulgaria,2006,434.07977
pisa_math,I.B1.5.4,PISA mathematics mean,BGR,Bulgaria,2009,428.06613
pisa_read,I.B1.5.5,PISA reading mean,BGR,Bulgaria,2009,429.0811
pisa_sci,I.B1.5.6,PISA science mean,BGR,Bulgaria,2009,439.29416
pisa_math,I.B1.5.4,PISA mathematics mean,BGR,Bulgaria,2012,438.73825
pisa_read,I.B1.5.5,PISA reading mean,BGR,Bulgaria,2012,436.12573
pisa_sci,I.B1.5.6,PISA science mean,BGR,Bulgaria,2012,446.46872
pisa_math,I.B1.5.4,PISA mathematics mean,BGR,Bulgaria,2015,441.1899
pisa_read,I.B1.5.5,PISA reading mean,BGR,Bulgaria,2015,431.71753
pisa_sci,I.B1.5.6,PISA science mean,BGR,Bulgaria,2015,445.77197
pisa_math,I.B1.5.4,PISA mathematics mean,BGR,Bulgaria,2018,436.04056
pisa_read,I.B1.5.5,PISA reading mean,BGR,Bulgaria,2018,419.844
pisa_sci,I.B1.5.6,PISA science mean,BGR,Bulgaria,2018,424.07358
pisa_math,I.B1.5.4,PISA mathematics mean,BGR,Bulgaria,2022,417.3039
pisa_read,I.B1.5.5,PISA reading mean,BGR,Bulgaria,2022,404.30374
pisa_sci,I.B1.5.6,PISA science mean,BGR,Bulgaria,2022,420.99323
pisa_read,I.B1.5.5,PISA reading mean,CHL,Chile,2000,409.5568
pisa_math,I.B1.5.4,PISA mathematics mean,CHL,Chile,2006,411.35034
pisa_read,I.B1.5.5,PISA reading mean,CHL,Chile,2006,442.09134
pisa_sci,I.B1.5.6,PISA science mean,CHL,Chile,2006,438.17746
pisa_math,I.B1.5.4,PISA mathematics mean,CHL,Chile,2009,421.0605
pisa_read,I.B1.5.5,PISA reading mean,CHL,Chile,2009,449.3696
pisa_sci,I.B1.5.6,PISA science mean,CHL,Chile,2009,447.46735
pisa_math,I.B1.5.4,PISA mathematics mean,CHL,Chile,2012,422.63235
pisa_read,I.B1.5.5,PISA reading mean,CHL,Chile,2012,441.39816
pisa_sci,I.B1.5.6,PISA science mean,CHL,Chile,2012,444.93393
pisa_math,I.B1.5.4,PISA mathematics mean,CHL,Chile,2015,422.67136
pisa_read,I.B1.5.5,PISA reading mean,CHL,Chile,2015,458.57086
pisa_sci,I.B1.5.6,PISA science mean,CHL,Chile,2015,446.95605
pisa_math,I.B1.5.4,PISA mathematics mean,CHL,Chile,2018,417.40656
pisa_read,I.B1.5.5,PISA reading mean,CHL,Chile,2018,452.27255
pisa_sci,I.B1.5.6,PISA science mean,CHL,Chile,2018,443.58255
pisa_math,I.B1.5.4,PISA mathematics mean,CHL,Chile,2022,411.69656
pisa_read,I.B1.5.5,PISA reading mean,CHL,Chile,2022,447.97894
pisa_sci,I.B1.5.6,PISA science mean,CHL,Chile,2022,443.5434
pisa_math,I.B1.5.4,PISA mathematics mean,COL,Colombia,2006,369.97852
pisa_read,I.B1.5.5,PISA reading mean,COL,Colombia,2006,385.30804
pisa_sci,I.B1.5.6,PISA science mean,COL,Colombia,2006,388.03827
pisa_math,I.B1.5.4,PISA mathematics mean,COL,Colombia,2009,380.8482
pisa_read,I.B1.5.5,PISA reading mean,COL,Colombia,2009,413.1815
pisa_sci,I.B1.5.6,PISA science mean,COL,Colombia,2009,401.75012
pisa_math,I.B1.5.4,PISA mathematics mean,COL,Colombia,2012,376.4886
pisa_read,I.B1.5.5,PISA reading mean,COL,Colombia,2012,403.40253
pisa_sci,I.B1.5.6,PISA science mean,COL,Colombia,2012,398.67862
pisa_math,I.B1.5.4,PISA mathematics mean,COL,Colombia,2015,389.64383
pisa_read,I.B1.5.5,PISA reading mean,COL,Colombia,2015,424.90518
pisa_sci,I.B1.5.6,PISA science mean,COL,Colombia,2015,415.72876
pisa_math,I.B1.5.4,PISA mathematics mean,COL,Colombia,2018,390.93228
pisa_read,I.B1.5.5,PISA reading mean,COL,Colombia,2018,412.29507
pisa_sci,I.B1.5.6,PISA science mean,COL,Colombia,2018,413.323
pisa_math,I.B1.5.4,PISA mathematics mean,COL,Colombia,2022,382.69684
pisa_read,I.B1.5.5,PISA reading mean,COL,Colombia,2022,408.66504
pisa_sci,I.B1.5.6,PISA science mean,COL,Colombia,2022,411.12067
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2000,491.57703
pisa_math,I.B1.5.4,PISA mathematics mean,CZE,Czechia,2003,516.455
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2003,488.5423
pisa_math,I.B1.5.4,PISA mathematics mean,CZE,Czechia,2006,509.85934
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2006,482.71515
pisa_sci,I.B1.5.6,PISA science mean,CZE,Czechia,2006,512.8607
pisa_math,I.B1.5.4,PISA mathematics mean,CZE,Czechia,2009,492.8141
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2009,478.1867
pisa_sci,I.B1.5.6,PISA science mean,CZE,Czechia,2009,500.49707
pisa_math,I.B1.5.4,PISA mathematics mean,CZE,Czechia,2012,498.9579
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2012,492.88974
pisa_sci,I.B1.5.6,PISA science mean,CZE,Czechia,2012,508.29907
pisa_math,I.B1.5.4,PISA mathematics mean,CZE,Czechia,2015,492.32544
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2015,487.25015
pisa_sci,I.B1.5.6,PISA science mean,CZE,Czechia,2015,492.83005
pisa_math,I.B1.5.4,PISA mathematics mean,CZE,Czechia,2018,499.46765
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2018,490.2188
pisa_sci,I.B1.5.6,PISA science mean,CZE,Czechia,2018,496.79132
pisa_math,I.B1.5.4,PISA mathematics mean,CZE,Czechia,2022,486.9992
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2022,488.60367
pisa_sci,I.B1.5.6,PISA science mean,CZE,Czechia,2022,497.74203
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2000,479.96677
pisa_math,I.B1.5.4,PISA mathematics mean,HUN,Hungary,2003,490.0124
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2003,481.8697
pisa_math,I.B1.5.4,PISA mathematics mean,HUN,Hungary,2006,490.93738
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2006,482.3745
pisa_sci,I.B1.5.6,PISA science mean,HUN,Hungary,2006,503.93173
pisa_math,I.B1.5.4,PISA mathematics mean,HUN,Hungary,2009,490.17
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2009,494.17874
pisa_sci,I.B1.5.6,PISA science mean,HUN,Hungary,2009,502.64276
pisa_math,I.B1.5.4,PISA mathematics mean,HUN,Hungary,2012,477.04446
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2012,488.46133
pisa_sci,I.B1.5.6,PISA science mean,HUN,Hungary,2012,494.30234
pisa_math,I.B1.5.4,PISA mathematics mean,HUN,Hungary,2015,476.83087
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2015,469.52325
pisa_sci,I.B1.5.6,PISA science mean,HUN,Hungary,2015,476.7475
pisa_math,I.B1.5.4,PISA mathematics mean,HUN,Hungary,2018,481.08264
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2018,475.98666
pisa_sci,I.B1.5.6,PISA science mean,HUN,Hungary,2018,480.91168
pisa_math,I.B1.5.4,PISA mathematics mean,HUN,Hungary,2022,472.77612
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2022,472.97473
