metric,code,label,iso,country,year,value
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2024,59453.738230398
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2023,59860.6086847392
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2022,62861.7846363111
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2021,62199.2099349718
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2020,63088.8422580423
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2019,64545.6690918665
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2018,66888.049287424
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2017,69702.6851895696
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2016,68105.4026359412
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2015,69721.4339259464
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2014,68225.6445237006
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2013,70098.6605034767
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2012,68916.9082638847
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2011,70153.5331640959
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2010,67965.7783189913
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2009,62578.8318819811
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2008,67241.6105325519
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2007,65213.8451434454
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2006,61047.783669524
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2005,58492.0948828661
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2004,55372.0006494235
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2003,53386.931436742
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2002,53119.3070799212
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2001,57358.6164893946
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,2000,58560.1529462859
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,1999,58999.3864674556
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,1998,60451.118088869
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,1997,60898.2739160256
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,1996,59535.7181778436
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,1995,58986.5631454268
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,1994,56342.6298445891
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,1993,53578.2758730771
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,1992,48964.2425148305
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),ARG,Argentina,1991,46257.9327425384
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2024,74220.5977530845
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2023,71089.9608686679
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2022,69786.9250672246
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2021,68917.2850596136
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2020,62815.0064722228
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2019,62693.9855864739
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2018,61623.8433618006
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2017,59816.9623302987
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2016,60518.7585613856
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2015,57927.555847289
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2014,56927.691075534
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2013,56624.3895379792
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2012,56091.6906067694
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2011,55345.4684369057
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2010,52293.1316569148
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2009,48659.7404326656
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2008,48670.947423487
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2007,47310.1311180757
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2006,46419.7371611094
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2005,45429.3422094663
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2004,42547.0326983843
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2003,41210.0492573794
gdp_per_employed,SL.GDP.PCAP.EM.KD,GDP per person employed (const 2021 PPP $),BGR,Bulgaria,2002,40477.1439064647
