Partido,Empresa,Valor
PT,ANDRADE GUTIERREZ,34.68
PSDB,ANDRADE GUTIERREZ,26.3409
PMDB,ANDRADE GUTIERREZ,11.65
PSB,ANDRADE GUTIERREZ,2.501181
PR,ANDRADE GUTIERREZ,1.7
DEM,ANDRADE GUTIERREZ,1.300246
PTB,ANDRADE GUTIERREZ,1.3
PSD,ANDRADE GUTIERREZ,1.25
PP,ANDRADE GUTIERREZ,0.8
PRB,ANDRADE GUTIERREZ,0.65
SD,ANDRADE GUTIERREZ,0.55
PSC,ANDRADE GUTIERREZ,0.35
PV,ANDRADE GUTIERREZ,0.1
PDT,ANDRADE GUTIERREZ,0.011245
PT,OAS,23.226
PMDB,OAS,14.56
PSDB,OAS,11.5
PSB,OAS,4.75
PP,OAS,3.65
PR,OAS,3.05
DEM,OAS,2.95
PSD,OAS,2.15
PTB,OAS,0.70063
PV,OAS,0.6
PC do B,OAS,0.6
PTN,OAS,0.59
PDT,OAS,0.4
PMDB,QUEIROZ GALVAO,15.83
PT,QUEIROZ GALVAO,15.1
PSB,QUEIROZ GALVAO,3.995
PSDB,QUEIROZ GALVAO,3.73
PSD,QUEIROZ GALVAO,3.539081
PDT,QUEIROZ GALVAO,3.05
PP,QUEIROZ GALVAO,2.9
DEM,QUEIROZ GALVAO,2.75
PR,QUEIROZ GALVAO,2.0
PTB,QUEIROZ GALVAO,1.26
PSC,QUEIROZ GALVAO,0.6
PROS,QUEIROZ GALVAO,0.4
SD,QUEIROZ GALVAO,0.4
PPS,QUEIROZ GALVAO,0.2
PRB,QUEIROZ GALVAO,0.08
PRP,QUEIROZ GALVAO,0.006
PSL,QUEIROZ GALVAO,0.00384
PT,U T C ENGENHARIA S/A,21.625
PSDB,U T C ENGENHARIA S/A,9.08
DEM,U T C ENGENHARIA S/A,4.765
PMDB,U T C ENGENHARIA S/A,3.9
PC do B,U T C ENGENHARIA S/A,3.040015
PR,U T C ENGENHARIA S/A,2.55
PDT,U T C ENGENHARIA S/A,1.6
PRTB,U T C ENGENHARIA S/A,1.453
SD,U T C ENGENHARIA S/A,1.4
PP,U T C ENGENHARIA S/A,0.875
PSB,U T C ENGENHARIA S/A,0.75
PSD,U T C ENGENHARIA S/A,0.7
PMN,U T C ENGENHARIA S/A,0.60205
PPS,U T C ENGENHARIA S/A,0.15
PRB,U T C ENGENHARIA S/A,0.125
PSC,U T C ENGENHARIA S/A,0.100455
PV,U T C ENGENHARIA S/A,0.05
PEN,U T C ENGENHARIA S/A,0.05
PTB,U T C ENGENHARIA S/A,0.015
PT do B,U T C ENGENHARIA S/A,0.001001
PMDB,ODEBRECHT,15.29
PT,ODEBRECHT,9.495
PSDB,ODEBRECHT,9.09
DEM,ODEBRECHT,4.44
PSB,ODEBRECHT,3.21
SD,ODEBRECHT,1.33
PTB,ODEBRECHT,0.7031
PP,ODEBRECHT,0.69
PSD,ODEBRECHT,0.63
PRB,ODEBRECHT,0.6
PSC,ODEBRECHT,0.53
PPS,ODEBRECHT,0.4
PR,ODEBRECHT,0.37
PROS,ODEBRECHT,0.3
PV,ODEBRECHT,0.29
PC do B,ODEBRECHT,0.23
PT do B,ODEBRECHT,0.22
